Date,Not indexed,Indexed,Impressions
2025-10-18,,,0
2025-10-19,,,1
2025-10-20,5,3,0
2025-10-21,5,4,0
2025-10-22,5,4,0
2025-10-23,5,4,0
2025-10-24,5,4,1
2025-10-25,5,4,0
2025-10-26,5,4,0
2025-10-27,5,4,3
2025-10-28,5,4,1
2025-10-29,5,4,2
2025-10-30,5,4,0
2025-10-31,5,4,2
2025-11-01,5,4,4
2025-11-02,5,4,0
2025-11-03,5,4,0
2025-11-04,5,4,2
2025-11-05,5,4,0
2025-11-06,5,4,2
2025-11-07,5,4,0
2025-11-08,5,4,0
2025-11-09,5,4,0
2025-11-10,5,4,1
2025-11-11,4,6,1
2025-11-12,4,6,1
2025-11-13,4,6,4
2025-11-14,4,6,0
2025-11-15,4,6,2
2025-11-16,4,6,1
2025-11-17,4,6,0
2025-11-18,5,5,3
2025-11-19,5,5,0
2025-11-20,5,5,1
2025-11-21,5,5,0
